HOLE:	984b
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
89.9160	18.7030	11.6592	1.3183	0.9946	0.5005	49.3033	16.0772	4.2872	0.0000	0.0000
90.0684	20.9224	12.9592	1.6124	1.1245	0.5222	61.1260	20.3753	3.2172	0.0000	2.1448
90.2208	18.0208	10.8506	1.3188	1.0125	0.4445	43.9443	19.2926	2.1436	1.0718	0.0000
90.3732	20.7361	12.6493	1.5379	1.1419	0.5180	58.0290	19.0095	7.0035	0.0000	0.0000
90.5256	18.8801	11.6239	1.4629	1.0246	0.4645	50.3751	17.1490	3.2154	2.1436	0.0000
90.6780	19.2832	12.0376	1.5032	1.0231	0.4838	59.0446	9.6618	5.3677	1.0735	1.0735
90.8304	18.5701	12.0151	1.3975	0.9256	0.5068	51.4469	17.1490	6.4309	1.0718	0.0000
90.9828	16.2438	11.2333	1.2454	0.7075	0.4880	38.9805	14.9925	4.9975	0.0000	0.9995
91.1352	20.8706	15.1704	1.6921	0.8049	0.6567	46.1126	20.3753	8.5791	2.1448	1.0724
91.2876	26.6685	20.3970	2.2835	0.8856	0.8810	62.1651	28.9389	9.6463	1.0718	0.0000
91.4400	27.8390	21.5149	2.4943	0.8930	0.9093	68.0340	20.0100	13.0065	1.0005	4.0020
91.5924	38.4691	28.9036	3.5709	1.3507	1.1705	96.5665	37.5536	11.8026	2.1459	2.1459
91.7448	38.2998	28.7084	3.5250	1.3544	1.1677	101.9860	35.4267	12.8824	1.0735	3.2206
91.8972	36.3124	27.3345	3.2961	1.2678	1.1258	103.9657	30.0107	12.8617	0.0000	1.0718
92.0496	33.8978	25.8716	3.1009	1.1334	1.0699	84.0420	34.0170	12.0060	3.0015	1.0005
92.2020	33.0504	25.1387	3.0000	1.1172	1.0426	66.4523	43.9443	16.0772	2.1436	1.0718
92.3544	32.6225	24.3904	3.0445	1.1625	0.9805	92.2252	25.7373	10.7239	2.1448	3.2172
92.5068	29.8347	22.0176	2.7693	1.1038	0.8802	75.1073	33.2618	7.5107	1.0730	2.1459
92.6592	28.5342	20.7562	2.6291	1.0983	0.8255	75.1127	32.0481	7.0105	0.0000	0.0000
92.8116	27.1284	19.4091	2.5356	1.0900	0.7540	76.1394	22.5201	8.5791	2.1448	1.0724
92.9640	24.9314	17.6632	2.3591	1.0263	0.6742	68.5959	15.0054	7.5027	0.0000	1.0718
93.1164	27.6809	19.3382	2.6538	1.1781	0.7216	73.9630	25.9870	5.9970	0.9995	0.0000
93.2688	28.0839	19.4287	2.7322	1.2222	0.7097	72.8832	26.7953	9.6463	2.1436	3.2154
93.4212	25.7055	17.7339	2.5165	1.1257	0.6425	69.7051	26.8097	3.2172	0.0000	1.0724
93.5736	25.3409	17.4318	2.4556	1.1168	0.6357	64.0320	21.0105	8.0040	0.0000	1.0005
93.7260	27.9244	19.1285	2.7226	1.2420	0.6911	80.3858	27.8671	6.4309	1.0718	1.0718
93.8784	24.4411	16.8588	2.4198	1.0707	0.6044	67.5966	12.8755	7.5107	1.0730	2.1459
94.0308	26.6964	18.4567	2.5769	1.1635	0.6785	70.7017	32.1371	5.3562	0.0000	2.1425
94.1832	23.7914	16.3527	2.1862	1.0504	0.6237	53.5906	24.6517	9.6463	2.1436	1.0718
94.3356	24.6337	16.5151	2.1596	1.1464	0.6411	58.9496	26.7953	6.4309	0.0000	2.1436
94.4880	25.4877	16.6650	2.1384	1.2458	0.6564	61.0611	30.0300	4.0040	1.0010	1.0010
94.6404	26.6227	16.4600	2.0039	1.4351	0.6735	68.5959	27.8671	6.4309	0.0000	0.0000
94.7928	27.0049	16.1584	1.9420	1.5316	0.6670	83.6910	20.3863	4.2918	2.1459	0.0000
94.9452	24.5534	14.2323	1.5598	1.4574	0.6225	63.2369	23.5798	4.2872	0.0000	0.0000
95.0976	27.1282	15.9924	1.7196	1.5725	0.7072	75.0000	26.0000	4.0000	3.0000	0.0000
95.2500	25.9858	15.4839	1.4719	1.4830	0.7295	68.5225	25.6959	8.5653	1.0707	1.0707
95.4024	24.1772	14.1504	1.1012	1.4159	0.7234	64.2398	19.2719	9.6360	0.0000	1.0707
95.5548	24.1272	14.1138	0.9457	1.4140	0.7570	64.3087	22.5080	10.7181	0.0000	0.0000
95.7072	22.3015	12.7635	0.7169	1.3469	0.7167	54.1082	22.0441	6.0120	2.0040	1.0020
95.8596	23.2749	13.5723	0.7313	1.3701	0.7694	63.2369	16.0772	10.7181	1.0718	0.0000
96.0120	23.0042	13.5668	0.6771	1.3326	0.7816	52.5188	24.6517	13.9335	1.0718	0.0000
96.1644	21.6082	12.5160	0.6561	1.2839	0.7137	57.0285	18.0090	9.0045	0.0000	0.0000
96.3168	21.6555	12.4950	0.8607	1.2935	0.6647	56.8365	21.4477	5.3619	0.0000	2.1448
96.4692	20.8154	11.2800	0.7800	1.3465	0.5994	52.5188	17.1490	6.4309	1.0718	1.0718
96.6216	22.6940	12.2216	0.9768	1.4788	0.6188	53.5906	26.7953	9.6463	3.2154	0.0000
96.7740	18.4188	8.4814	0.7092	1.4033	0.4222	54.6917	11.7962	4.2895	1.0724	0.0000
96.9264	18.3249	8.2942	0.7606	1.4164	0.3973	51.0255	15.0075	5.0025	1.0005	0.0000
97.0788	17.8736	7.8643	0.7734	1.4134	0.3645	48.1799	17.1306	3.2120	0.0000	0.0000
97.2312	18.6078	8.1153	0.8881	1.4816	0.3552	45.0161	19.2926	6.4309	2.1436	0.0000
97.3836	18.3190	7.6562	0.9593	1.5057	0.3069	50.4021	18.2306	5.3619	0.0000	1.0724
97.5360	15.8953	5.5148	0.8183	1.4658	0.1915	46.1373	8.5837	2.1459	2.1459	1.0730
97.6884	23.4083	12.3183	1.6740	1.5660	0.4635	65.0325	16.0080	8.0040	1.0005	1.0005
97.8408	23.4564	12.4986	1.7043	1.5473	0.4689	58.9496	21.4362	7.5027	2.1436	2.1436
97.9932	22.9954	12.4032	1.6558	1.4957	0.4736	56.0561	24.0240	7.0070	0.0000	1.0010
98.1456	23.8089	12.8562	1.7440	1.5466	0.4845	61.0932	18.2208	7.5027	1.0718	0.0000
98.2980	26.6798	14.7765	2.0946	1.6808	0.5359	76.0986	25.7235	5.3591	0.0000	1.0718
98.4504	24.4645	13.1889	1.9460	1.5922	0.4605	65.0325	18.0090	4.0020	4.0020	1.0005
98.6028	29.8824	17.4099	2.2540	1.7612	0.6811	85.7909	27.8820	6.4343	3.2172	0.0000
98.7552	26.9506	15.8697	1.9326	1.5647	0.6492	73.9550	22.5080	8.5745	0.0000	0.0000
98.9076	26.8932	16.2164	1.9400	1.5077	0.6714	73.0365	33.0165	6.0030	0.0000	0.0000
99.0600	23.6173	14.5063	1.7309	1.2866	0.6017	58.9496	24.6517	5.3591	0.0000	1.0718
99.2124	24.7024	15.4829	1.8921	1.3019	0.6318	58.9812	25.7373	12.8686	1.0724	1.0724
99.3648	22.9196	14.3788	1.9062	1.2060	0.5521	67.5241	17.1490	4.2872	0.0000	3.2154
99.5172	21.3664	13.2989	1.7589	1.1392	0.5116	53.0265	19.0095	5.0025	1.0005	2.0010
99.6696	23.3323	14.5829	1.8675	1.2355	0.5752	62.2652	22.5443	5.3677	2.1471	0.0000
99.8220	22.5326	14.2127	1.7343	1.1749	0.5806	55.9720	20.9895	9.9950	0.9995	0.9995
99.9744	21.8492	13.9216	1.6996	1.1195	0.5685	49.2505	28.9079	8.5653	0.0000	1.0707
100.1268	20.3489	12.7064	1.6605	1.0792	0.4935	53.5906	13.9335	6.4309	2.1436	2.1436
100.2792	20.9601	12.8961	1.6994	1.1387	0.4976	62.1984	13.9410	6.4343	0.0000	1.0724
100.4316	19.7899	11.9067	1.5620	1.1132	0.4610	48.0240	21.0105	6.0030	0.0000	1.0005
100.5840	20.4286	11.8141	1.5955	1.2165	0.4468	46.0879	23.5798	4.2872	5.3591	0.0000
100.7364	20.5610	11.8636	1.5725	1.2282	0.4556	52.0260	20.0100	4.0020	2.0010	0.0000
100.8888	21.8491	12.7068	1.6326	1.2910	0.5000	65.3105	20.3426	5.3533	0.0000	0.0000
101.0412	18.5186	10.3013	1.2617	1.1604	0.4197	54.0541	12.0120	4.0040	0.0000	0.0000
101.1936	25.9584	19.0262	2.0193	0.9789	0.8475	63.2369	34.2980	7.5027	1.0718	0.0000
101.3460	18.8267	15.1375	1.6524	0.5209	0.6636	44.9679	21.4133	5.3533	1.0707	1.0707
101.4984	18.4576	15.0506	1.6549	0.4811	0.6570	40.0200	24.0120	4.0020	0.0000	1.0005
101.6508	20.4291	16.4532	1.8727	0.5614	0.7035	48.2574	11.7962	12.8686	2.1448	1.0724
101.8032	22.6398	17.9071	2.1688	0.6683	0.7353	61.0932	18.2208	7.5027	0.0000	0.0000
101.9556	23.4056	18.4111	2.3888	0.7053	0.7190	55.0275	26.0130	6.0030	4.0020	3.0015
102.1080	21.8861	17.3610	2.2216	0.6390	0.6852	51.3919	21.4133	6.4240	0.0000	1.0707
