HOLE:	984B
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	TENS	CS	ETIM
113.3856	2271.9871	573.0198	2501.0818
113.5380	2279.0059	572.3168	2500.1321
113.6904	2374.0359	571.5447	2499.1648
113.8428	2367.5334	572.1550	2498.2029
113.9952	2337.1919	572.4195	2497.2576
114.1476	2332.0061	571.3020	2496.3110
114.3000	2253.8940	570.0955	2495.3496
114.4524	2255.8098	570.0026	2494.3835
114.6048	2182.6506	570.2935	2493.4153
114.7572	2190.9011	570.8077	2492.4326
114.9096	2249.3508	572.5938	2491.4685
115.0620	2243.8667	573.0640	2490.5171
115.2144	2252.1309	572.5342	2489.5500
115.3668	2344.3992	573.2619	2488.5923
115.5192	2339.0186	573.2889	2487.6355
115.6716	2352.2278	573.2546	2486.6873
115.8240	2350.6367	572.5048	2485.7349
115.9764	2377.5476	571.9751	2484.7676
116.1288	2371.7222	572.6566	2483.8201
116.2812	2322.5872	571.7422	2482.8691
116.4336	2328.7622	570.9818	2481.9131
116.5860	2367.7957	570.5726	2480.9524
116.7384	2362.4895	570.4893	2479.9873
116.8908	2319.1038	570.7539	2479.0337
117.0432	2322.6589	570.0715	2478.0691
117.1956	2377.2820	570.2386	2477.1033
117.3480	2363.2971	570.5581	2476.1372
117.5004	2239.6558	570.9554	2475.1716
117.6528	2250.3076	571.3034	2474.2231
117.8052	2220.6450	570.2670	2473.2710
117.9576	2238.5386	569.3896	2472.3030
118.1100	2337.0112	569.7678	2471.3279
118.2624	2329.7273	570.7653	2470.3728
118.4148	2334.6765	570.2229	2469.4238
118.5672	2338.9111	569.0975	2468.4734
118.7196	2367.7322	567.9362	2467.5056
118.8720	2371.0769	568.0599	2466.5403
119.0244	2357.0417	568.0461	2465.5732
119.1768	2175.6807	568.1212	2464.5957
119.3292	2212.0605	569.0660	2463.6243
119.4816	2327.8657	569.6091	2462.6553
119.6340	2323.7576	570.0721	2461.6726
119.7864	2368.4729	571.7242	2460.7178
119.9388	2355.4138	571.2672	2459.7576
120.0912	2348.3489	571.2305	2458.8145
120.2436	2341.5283	569.7167	2457.8574
120.3960	2257.6875	569.1893	2456.8926
120.5484	2278.4126	569.2338	2455.9419
120.7008	2327.5046	568.0936	2454.9731
120.8532	2334.4221	568.3532	2454.0122
121.0056	2403.8596	567.9977	2453.0505
121.1580	2389.2312	567.6125	2452.0923
121.3104	2375.5652	566.8381	2451.1221
121.4628	2378.0505	567.0050	2450.1404
121.6152	2417.3042	568.1667	2449.1748
121.7676	2402.1392	568.1918	2448.2095
121.9200	2306.4080	568.1099	2447.2603
122.0724	2326.7122	566.6578	2446.2886
122.2248	2397.3779	566.8855	2445.3025
122.3772	2387.4229	568.3496	2444.3237
122.5296	2390.6150	569.4825	2443.3723
122.6820	2376.0801	568.4036	2442.4109
122.8344	2301.2659	568.0610	2441.4617
122.9868	2313.1489	566.6235	2440.4868
123.1392	2298.5532	567.1056	2439.5088
123.2916	2241.3462	567.9533	2438.5569
123.4440	2263.5166	566.7341	2437.5686
123.5964	2352.6355	568.3679	2436.6104
123.7488	2330.4851	567.7725	2435.6567
123.9012	2216.3506	566.6426	2434.6909
124.0536	2258.1689	566.4413	2433.7312
124.2060	2418.2610	565.6227	2432.7529
124.3584	2392.1733	566.2916	2431.7725
124.5108	2380.9404	567.2518	2430.8076
124.6632	2372.9138	567.0083	2429.8389
124.8156	2374.5295	567.0562	2428.8740
124.9680	2366.9963	566.7510	2427.9011
125.1204	2279.2390	567.0809	2426.9221
125.2728	2308.3091	568.0082	2425.9570
125.4252	2389.7769	567.9173	2424.9968
125.5776	2380.4971	567.3995	2424.0364
125.7300	2446.3477	566.8180	2423.0713
125.8824	2397.2654	566.5447	2422.0986
126.0348	2257.9912	566.8470	2421.1216
126.1872	2271.1877	567.5430	2420.1555
126.3396	2170.9641	567.4631	2419.1877
126.4920	2219.0969	567.5092	2418.2207
126.6444	2280.5205	567.4889	2417.2551
126.7968	2292.8940	567.3599	2416.3086
126.9492	2386.9905	565.6184	2415.3547
127.1016	2363.7490	564.2419	2414.3884
127.2540	2357.6311	563.6718	2413.4189
127.4064	2356.7686	563.3272	2412.4346
127.5588	2369.5061	564.1124	2411.4504
127.7112	2364.4263	565.0148	2410.4707
127.8636	2366.5605	565.6488	2409.5020
128.0160	2365.6738	565.5011	2408.5195
128.1684	2377.0454	566.3862	2407.5554
128.3208	2473.2703	565.9714	2406.5876
128.4732	2414.7239	565.8343	2405.6199
128.6256	2260.8718	565.6108	2404.6526
128.7780	2295.8247	565.2481	2403.6824
128.9304	2321.9221	565.1455	2402.6973
129.0828	2313.5735	566.2808	2401.7166
129.2352	2220.9343	567.2410	2400.7554
129.3876	2268.9561	566.6701	2399.8035
129.5400	2400.8950	565.2484	2398.8350
129.6924	2371.3672	565.0165	2397.8672
129.8448	2329.8174	564.6421	2396.9006
129.9972	2341.3108	564.2423	2395.9319
130.1496	2347.9873	563.8638	2394.9478
130.3020	2366.4705	564.7405	2393.9866
130.4544	2417.5469	563.8284	2393.0112
130.6068	2411.4480	563.8969	2392.0334
130.7592	2469.4016	564.3081	2391.0647
130.9116	2438.2617	563.9281	2390.0796
131.0640	2407.7773	564.9045	2389.1204
131.2164	2393.6975	563.8422	2388.1443
131.3688	2326.3010	564.0793	2387.1672
131.5212	2349.4651	564.3394	2386.1958
131.6736	2379.4246	564.1985	2385.2134
131.8260	2363.9570	564.9169	2384.2461
131.9784	2324.5667	564.5243	2383.2612
132.1308	2330.3562	565.5366	2382.2979
132.2832	2274.0876	564.9393	2381.3298
132.4356	2319.0081	564.5901	2380.3630
132.5880	2350.2158	564.1318	2379.3987
132.7404	2391.3821	563.4277	2378.4263
132.8928	2510.7534	563.2816	2377.4465
133.0452	2490.0330	563.6685	2376.4783
133.1976	2475.2761	563.0837	2375.4897
133.3500	2350.3376	564.1638	2374.5103
133.5024	2406.3765	564.6649	2373.5291
133.6548	2483.9558	565.4417	2372.5667
133.8072	2465.5959	564.6854	2371.6135
133.9596	2499.8191	563.0275	2370.6438
134.1120	2448.6768	562.6393	2369.6792
134.2644	2369.4604	561.6881	2368.7107
134.4168	2350.8975	560.9666	2367.7454
134.5692	2180.0928	559.8597	2366.7654
134.7216	2275.6423	559.7350	2365.7720
134.8740	2418.3584	560.7766	2364.7927
135.0264	2374.8032	560.7883	2363.8042
135.1788	2374.3181	561.5361	2362.8286
135.3312	2344.9209	561.3527	2361.8557
135.4836	2258.3193	560.7747	2360.8528
135.6360	2291.6633	562.6932	2359.8794
135.7884	2235.7175	562.4135	2358.9036
135.9408	2325.6548	562.3271	2357.9246
136.0932	2539.0684	562.5398	2356.9553
136.2456	2451.0352	561.9508	2355.9695
136.3980	2424.6011	562.6765	2355.0098
136.5504	2395.2175	561.3199	2354.0359
136.7028	2370.1492	560.9470	2353.0518
136.8552	2351.4595	561.2993	2352.0679
137.0076	2249.9773	561.7330	2351.0859
137.1600	2297.4050	562.0880	2350.1099
137.3124	2321.2358	561.9839	2349.1404
137.4648	2313.1843	561.3917	2348.1785
137.6172	2292.5222	560.0295	2347.1992
137.7696	2317.5645	559.8876	2346.2244
137.9220	2412.9631	559.3904	2345.2498
138.0744	2352.7449	558.9354	2344.2668
138.2268	2212.3577	558.8878	2343.2815
138.3792	2278.1135	559.0577	2342.3013
138.5316	2293.7209	558.8299	2341.3059
138.6840	2365.6606	559.8762	2340.3169
138.8364	2536.6807	560.5543	2339.3484
138.9888	2456.8452	559.6072	2338.3743
139.1412	2410.1067	559.0466	2337.4104
139.2936	2413.9045	557.4245	2336.4092
139.4460	2401.4297	558.6981	2335.4297
139.5984	2379.7568	558.5163	2334.4365
139.7508	2392.4944	559.2294	2333.4451
139.9032	2426.1272	559.9306	2332.4800
140.0556	2404.2456	558.5195	2331.4807
