HOLE:	984B
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	TENS	CS	ETIM
149.5044	2686.4690	497.1907	2933.6543
149.6568	2690.0022	496.7958	2932.5303
149.8092	2726.5627	497.4979	2931.4219
149.9616	2729.9924	497.3793	2930.3096
150.1140	2604.6245	497.5067	2929.1895
150.2664	2595.0029	498.0409	2928.0664
150.4188	2642.1252	498.9470	2926.9316
150.5712	2645.0012	500.7127	2925.8105
150.7236	2664.1406	501.7878	2924.6914
150.8760	2664.9988	502.9653	2923.5850
151.0284	2645.5588	503.5331	2922.4922
151.1808	2586.3125	503.0897	2921.3857
151.3332	2584.9949	503.6873	2920.2949
151.4856	2500.5625	503.2852	2919.2031
151.6380	2500.0061	502.8430	2918.0950
151.7904	2600.0000	503.4581	2917.0125
151.9428	2600.0056	502.9769	2915.9285
152.0952	2690.0000	502.5270	2914.8630
152.2476	2689.9946	500.7577	2913.7800
152.4000	2600.0000	499.9241	2912.6809
152.5524	2599.9988	500.0250	2911.5806
152.7048	2580.0100	500.2376	2910.4805
152.8572	2745.0000	500.4482	2909.3811
153.0096	2744.9912	500.6565	2908.2705
153.1620	2600.0000	501.6006	2907.1604
153.3144	2600.0015	502.6476	2906.0664
153.4668	2625.0000	502.8118	2904.9675
153.6192	2624.9829	503.3252	2903.8679
153.7716	2345.0000	503.9445	2902.7700
153.9240	2345.0068	504.5548	2901.6709
154.0764	2455.0000	505.3172	2900.5730
154.2288	2455.0120	506.1236	2899.4915
154.3812	2649.9856	505.9562	2898.4150
154.5336	2415.0000	505.4282	2897.3445
154.6860	2415.0027	504.4168	2896.2629
154.8384	2460.0000	504.0056	2895.1750
154.9908	2460.0144	503.9686	2894.0864
155.1432	2695.0000	503.9593	2893.0149
155.2956	2694.9971	502.8064	2891.9336
155.4480	2645.0000	502.1651	2890.8521
155.6004	2644.9939	501.4322	2889.7590
155.7528	2545.0000	501.3571	2888.6555
155.9052	2545.0000	501.9536	2887.5559
156.0576	2525.0000	502.3769	2886.4514
156.2100	2525.0000	503.1834	2885.3584
156.3624	2510.0000	503.3585	2884.2759
156.5148	2545.0000	502.8630	2883.1890
156.6672	2545.0012	502.5965	2882.0947
156.8196	2555.0000	502.7531	2881.0132
156.9720	2555.0073	502.1043	2879.9153
157.1244	2615.0000	502.4518	2878.8162
157.2768	2614.9805	502.9139	2877.7183
157.4292	2454.9805	503.3770	2876.6353
157.5816	2455.0012	502.9175	2875.5374
157.7340	2465.0000	503.3810	2874.4558
157.8864	2465.0068	502.8217	2873.3792
158.0388	2520.0093	501.8459	2872.3079
158.1912	2595.0000	500.3912	2871.2253
158.3436	2595.0037	499.4720	2870.1262
158.4960	2625.0000	499.5083	2869.0278
158.6484	2624.9866	499.5174	2867.9287
158.8008	2515.0000	499.5602	2866.8293
158.9532	2514.9958	499.6416	2865.7422
159.1056	2480.0000	498.9150	2864.6318
159.2580	2480.0190	499.6101	2863.5493
159.4104	2635.0000	498.5793	2862.4543
159.5628	2634.9878	498.2275	2861.3662
159.7152	2534.9902	497.3653	2860.2568
159.8676	2455.0000	497.7756	2859.1467
160.0200	2455.0037	498.2765	2858.0188
160.1724	2485.0000	499.9754	2856.9028
160.3248	2484.9958	501.1701	2855.7878
160.4772	2450.0000	502.4724	2854.6833
160.6296	2450.0098	503.2924	2853.5894
160.7820	2530.0000	503.5485	2852.5059
160.9344	2530.0044	503.1470	2851.4233
161.0868	2565.0000	502.6126	2850.3533
161.2392	2564.6199	500.8814	2849.2820
161.3916	2521.6389	498.9050	2848.2068
161.5440	2634.9998	496.9751	2847.1140
161.6964	2632.7380	495.9607	2846.0193
161.8488	2535.0002	494.8086	2844.9050
162.0012	2536.7566	494.9377	2843.7947
162.1536	2589.9998	494.6981	2842.6912
162.3060	2588.5896	494.0176	2841.5867
162.4584	2554.9993	493.2579	2840.4900
162.6108	2548.6099	492.0542	2839.3943
162.7632	2425.0010	490.3809	2838.2810
162.9156	2433.1423	489.8039	2837.1833
163.0680	2575.7700	487.9313	2836.0505
163.2204	2739.9983	488.2906	2834.9451
163.3728	2725.4768	486.7249	2833.8396
163.5252	2534.9988	484.9604	2832.7361
163.6776	2524.9861	482.9149	2831.6306
163.8300	2410.0029	480.6670	2830.5154
163.9824	2433.0291	478.8061	2829.3884
164.1348	2669.9988	477.3488	2828.2488
164.2872	2660.2378	476.4000	2827.1003
164.4396	2559.8640	475.9308	2825.9548
164.5920	2470.0022	475.2226	2824.7781
164.7444	2488.2678	476.2216	2823.5974
164.8968	2635.0007	477.5955	2822.4294
165.0492	2640.3799	478.4290	2821.2830
165.2016	2679.9983	478.0929	2820.1560
165.3540	2665.2380	476.4998	2819.0300
165.5064	2567.6584	474.7651	2817.8875
165.6588	2584.9990	473.5591	2816.7292
165.8112	2577.1816	473.3463	2815.5681
165.9636	2529.9978	473.0293	2814.4158
166.1160	2511.2371	472.3804	2813.2595
166.2684	2405.0049	471.7499	2812.0896
166.4208	2444.0242	471.8274	2810.9285
166.5732	2640.9944	471.4474	2809.7644
166.7256	2594.9985	471.1457	2808.6130
166.8780	2583.7434	470.0585	2807.4705
167.0304	2530.0034	468.3484	2806.2996
167.1828	2558.1414	468.0349	2805.1277
167.3352	2692.4414	467.6819	2803.9548
167.4876	2724.9961	467.2964	2802.7849
167.6400	2693.8594	466.8375	2801.6111
167.7924	2565.0049	466.5173	2800.4255
167.9448	2604.5190	466.6922	2799.2517
168.0972	2759.9978	466.2306	2798.0740
168.2496	2742.9275	466.0990	2796.8884
168.4020	2660.4915	466.2178	2795.7000
168.5544	2590.0024	466.5970	2794.5105
168.7068	2609.1956	467.0376	2793.3259
168.8592	2674.9998	467.2809	2792.1599
169.0116	2672.6567	466.5225	2790.9978
169.1640	2675.7542	465.5081	2789.8250
169.3164	2709.9978	464.8229	2788.6570
169.4688	2692.6187	463.9102	2787.4929
169.6212	2639.9995	462.4124	2786.3318
