HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	RHOB	PEF	DRHO
154.8380	1.6047	3.3560	0.0158
154.9904	1.6010	3.3313	0.0126
155.1428	1.6005	3.2742	0.0141
155.2952	1.6026	3.2220	0.0200
155.4476	1.6004	3.2557	0.0207
155.6000	1.5993	3.3427	0.0141
155.7524	1.6145	3.4919	0.0134
155.9048	1.6318	3.5811	0.0113
156.0572	1.6442	3.6467	0.0128
156.2096	1.6352	3.6685	0.0083
156.3620	1.6168	3.5658	0.0073
156.5144	1.6019	3.5524	0.0058
156.6668	1.6208	3.5577	0.0313
156.8192	1.6107	3.5826	0.0214
156.9716	1.6030	3.5407	0.0139
157.1240	1.5952	3.4868	0.0058
157.2764	1.5904	3.3735	0.0034
157.4288	1.5958	3.2273	0.0141
157.5812	1.5874	3.1160	0.0090
157.7336	1.6091	3.0740	0.0237
157.8860	1.6380	3.0744	0.0473
158.0384	1.6596	3.0242	0.0732
158.1908	1.6459	2.9224	0.0765
158.3432	1.6115	2.9132	0.0556
158.4956	1.5688	2.9180	0.0213
158.6480	1.5654	2.9774	0.0151
158.8004	1.5635	2.9927	0.0115
158.9528	1.5741	3.1328	0.0191
159.1052	1.5729	3.3320	0.0214
159.2576	1.5690	3.4756	0.0124
159.4100	1.5745	3.4898	0.0126
159.5624	1.5792	3.4567	0.0110
159.7148	1.5779	3.4191	0.0096
159.8672	1.5832	3.4019	0.0117
160.0196	1.5898	3.4066	0.0140
160.1720	1.5959	3.4027	0.0146
160.3244	1.6017	3.4006	0.0147
160.4768	1.6138	3.3934	0.0159
160.6292	1.6119	3.4562	0.0092
160.7816	1.6056	3.5002	0.0037
160.9340	1.6043	3.5373	0.0042
161.0864	1.6071	3.5003	0.0023
161.2388	1.6158	3.5336	0.0016
161.3912	1.6210	3.5717	-0.0006
161.5436	1.6245	3.6292	-0.0008
161.6960	1.6287	3.5457	-0.0012
161.8484	1.6245	3.4573	-0.0022
162.0008	1.6186	3.3435	0.0018
162.1532	1.6098	3.3112	0.0071
162.3056	1.6063	3.2279	0.0142
162.4580	1.6061	3.1778	0.0148
162.6104	1.6030	3.1661	0.0132
162.7628	1.6137	3.2333	0.0104
162.9152	1.6301	3.3844	0.0021
163.0676	1.6554	3.4650	-0.0032
163.2200	1.6679	3.5479	-0.0084
163.3724	1.6719	3.5120	-0.0107
163.5248	1.6832	3.4809	-0.0093
163.6772	1.6932	3.4362	-0.0090
163.8296	1.6989	3.4518	-0.0106
163.9820	1.7052	3.4879	-0.0113
164.1344	1.7075	3.5654	-0.0134
164.2868	1.7050	3.6159	-0.0173
164.4392	1.6924	3.5948	-0.0179
164.5916	1.6837	3.5586	-0.0150
164.7440	1.6749	3.5288	-0.0102
164.8964	1.6680	3.5280	-0.0078
165.0488	1.6589	3.4979	-0.0082
165.2012	1.6437	3.4525	-0.0105
165.3536	1.6292	3.4120	-0.0130
165.5060	1.6129	3.3963	-0.0135
165.6584	1.6021	3.4263	-0.0130
165.8108	1.5968	3.4686	-0.0123
165.9632	1.5971	3.4984	-0.0120
166.1156	1.5997	3.4924	-0.0125
166.2680	1.6028	3.4534	-0.0106
166.4204	1.6105	3.4852	-0.0068
166.5728	1.6244	3.5703	-0.0013
166.7252	1.6351	3.6735	-0.0001
166.8776	1.6389	3.5750	0.0013
167.0300	1.6389	3.3042	0.0027
167.1824	1.6235	3.0669	0.0039
167.3348	1.6147	3.0052	0.0072
167.4872	1.6008	3.1848	0.0048
167.6396	1.6107	3.4749	0.0032
167.7920	1.6251	3.6617	-0.0048
167.9444	1.6525	3.6320	-0.0021
168.0968	1.6699	3.5908	0.0055
168.2492	1.6697	3.6436	0.0091
168.4016	1.6602	3.7601	0.0030
168.5540	1.6548	3.7654	-0.0062
168.7064	1.6489	3.6719	-0.0101
168.8588	1.6391	3.6057	-0.0113
169.0112	1.6308	3.5676	-0.0099
