HOLE:	984b
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
119.4816	33.6936	18.0990	1.6143	1.7618	0.7349	61.9375	23.3682	11.0391	1.7402	0.0000
119.6340	32.5960	18.0070	1.7048	1.6482	0.7117	61.2188	24.6836	8.8359	1.3359	0.4365
119.7864	32.7721	18.7734	1.8329	1.5815	0.7310	60.4063	25.1406	6.1719	0.8867	0.4385
119.9388	34.2642	20.0831	1.9223	1.6021	0.7896	66.4688	23.8262	7.0898	2.2148	0.8984
120.0912	35.6051	20.5445	1.8350	1.7014	0.8337	73.3125	24.4531	10.2969	3.0039	0.8555
120.2436	35.5957	19.6250	1.6553	1.8042	0.8157	67.2910	24.3281	11.1055	3.4370	0.4609
120.3960	34.1765	17.7759	1.5079	1.8528	0.7372	65.4766	21.3672	9.3848	2.9824	0.4141
120.5484	32.0579	16.0458	1.5144	1.8089	0.6351	62.8320	21.5664	8.1167	3.0527	0.4736
120.7008	30.2983	14.7688	1.5893	1.7544	0.5459	56.9453	16.2188	7.9400	2.0859	1.8438
120.8532	28.7603	13.4736	1.5949	1.7270	0.4694	56.8594	15.9531	6.9707	0.8827	1.6738
121.0056	28.5111	12.6583	1.5857	1.7909	0.4237	54.6094	19.8145	5.1914	0.8830	0.8830
121.1580	28.4682	12.0277	1.5538	1.8573	0.3933	49.3301	23.4297	6.4141	0.3828	1.8828
121.3104	27.7888	11.7631	1.5779	1.8105	0.3731	49.0215	23.9375	5.9141	0.5059	1.6348
121.4628	26.9043	11.9135	1.6122	1.6935	0.3751	52.4609	17.4297	5.4355	0.3691	0.3691
121.6152	26.9467	12.7094	1.7026	1.6084	0.4036	49.5156	18.7813	6.1756	0.5186	0.0000
121.7676	29.5339	14.4268	1.8907	1.7067	0.4664	53.7656	21.0176	7.2305	0.8827	0.0000
121.9200	32.3805	15.9644	2.1021	1.8546	0.5142	64.2031	25.6563	6.6738	2.3594	1.0059
122.0724	32.3793	16.4207	2.1874	1.8029	0.5239	63.4766	26.9922	6.0430	2.9150	1.7264
122.2248	30.9226	15.8575	2.0976	1.7019	0.5089	54.8984	18.5156	5.6309	3.1914	2.3076
122.3772	29.6940	15.6017	2.0048	1.5920	0.5123	57.2266	21.2656	5.2933	2.4258	2.0967
122.5296	29.4291	15.4334	1.9190	1.5811	0.5195	58.6445	22.2461	8.0742	1.2080	0.6523
122.6820	27.9952	14.7458	1.8250	1.4968	0.4980	53.4297	19.7393	6.3320	2.0078	0.0000
122.8344	27.9132	14.5851	1.8209	1.5057	0.4895	52.8945	15.9961	4.9814	0.9395	0.0000
122.9868	28.7919	14.4986	1.8810	1.6148	0.4726	63.0469	18.7344	5.2964	0.5762	1.7285
123.1392	30.2188	15.0916	2.0371	1.7090	0.4762	55.7344	22.3418	7.6211	0.3008	0.9043
123.2916	28.3215	14.1041	1.9785	1.6062	0.4303	58.1875	18.8047	7.0527	0.5889	0.0000
