HOLE:	984b
LEG:	162
TOP:	87.934799
BOTTOM:	497.890808

DEPTH	IDPH	IMPH	SFLU
136.3980	0.4792	0.4892	0.4554
136.5504	0.4796	0.4932	0.4635
136.7028	0.4811	0.4989	0.4637
136.8552	0.4838	0.5045	0.4619
137.0076	0.4894	0.5090	0.4776
137.1600	0.4971	0.5127	0.4801
137.3124	0.5030	0.5166	0.4757
137.4648	0.5083	0.5225	0.4661
137.6172	0.5200	0.5314	0.4697
137.7696	0.5287	0.5430	0.4846
137.9220	0.5383	0.5560	0.5152
138.0744	0.5464	0.5685	0.5331
138.2268	0.5577	0.5789	0.5317
138.3792	0.5654	0.5865	0.5384
138.5316	0.5702	0.5915	0.5512
138.6840	0.5801	0.5951	0.5547
138.8364	0.5858	0.5997	0.5492
138.9888	0.5901	0.6068	0.5597
139.1412	0.5936	0.6163	0.5667
139.2936	0.5977	0.6259	0.5680
139.4460	0.6021	0.6334	0.5694
139.5984	0.6046	0.6374	0.5807
139.7508	0.6062	0.6379	0.5869
139.9032	0.6082	0.6362	0.5969
140.0556	0.6080	0.6333	0.5948
140.2080	0.6048	0.6297	0.5889
140.3604	0.5970	0.6252	0.5881
140.5128	0.5953	0.6194	0.5869
140.6652	0.5909	0.6125	0.5662
140.8176	0.5811	0.6052	0.5265
140.9700	0.5786	0.5983	0.5195
141.1224	0.5723	0.5921	0.5286
141.2748	0.5646	0.5865	0.5426
141.4272	0.5610	0.5809	0.5424
141.5796	0.5514	0.5741	0.5343
141.7320	0.5396	0.5648	0.5161
141.8844	0.5387	0.5532	0.5148
142.0368	0.5292	0.5402	0.4946
142.1892	0.5168	0.5277	0.4680
142.3416	0.5151	0.5181	0.4702
142.4940	0.5137	0.5135	0.4632
142.6464	0.5124	0.5149	0.4662
142.7988	0.5125	0.5219	0.4585
142.9512	0.5158	0.5320	0.4863
143.1036	0.5219	0.5419	0.5155
143.2560	0.5302	0.5494	0.5117
143.4084	0.5398	0.5551	0.5031
143.5608	0.5438	0.5607	0.5081
143.7132	0.5456	0.5669	0.5228
143.8656	0.5433	0.5715	0.5380
144.0180	0.5368	0.5708	0.5490
144.1704	0.5293	0.5623	0.5319
144.3228	0.5247	0.5476	0.5072
144.4752	0.5196	0.5320	0.4703
144.6276	0.5139	0.5208	0.4455
144.7800	0.5081	0.5163	0.4515
144.9324	0.5025	0.5178	0.4742
145.0848	0.4981	0.5216	0.4977
145.2372	0.4953	0.5236	0.5002
145.3896	0.4938	0.5216	0.4887
145.5420	0.4934	0.5160	0.4742
145.6944	0.4925	0.5092	0.4582
145.8468	0.4920	0.5040	0.4490
145.9992	0.4921	0.5023	0.4479
146.1516	0.4924	0.5048	0.4602
