Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
A    143.61    697.03   4034.90
A    143.76    652.47   3766.90
A    143.92    611.69   3780.70
A    144.07    580.39   3782.30
A    144.22    567.83   3867.30
A    144.37    570.57   3871.00
A    144.52    565.98   3528.70
A    144.68    527.27   3281.90
A    144.83    477.96   3041.30
A    144.98    443.62   2709.60
A    145.14    430.55   2578.50
A    145.29    432.55   2522.00
A    145.44    439.83   2391.70
A    145.59    448.25   2354.70
A    145.74    462.73   2464.60
A    145.90    498.31   2724.60
A    146.05    556.51   3137.90
A    146.20    639.11   3812.10
A    146.35    733.45   4662.00
A    146.51    819.16   4978.30
A    146.66    859.57   5234.70
A    146.81    850.40   5307.00
A    146.96    802.44   5261.20
A    147.12    730.51   4919.00
A    147.27    667.08   4222.90
A    147.42    625.20   3694.80
A    147.57    608.60   3638.40
A    147.73    604.59   3730.00
A    147.88    610.50   3877.70
A    148.03    533.19   3856.30
A    148.18    704.03   3710.20
A    148.34    726.29   3532.70
A    148.49    766.20   3391.30
A    148.64    735.83   3384.30
A    148.79    705.45   3347.00
A    148.94    675.08   3235.70
A    149.10    642.68   3176.30
A    149.25    612.30   3543.80
A    149.40    581.93   3941.60
A    149.55    543.89   3799.90
A    149.71    634.70   3484.50
A    149.86    515.02   3314.60
A    150.01    522.72   3123.40
A    150.16    519.40   3115.00
A    150.32    535.30   3178.00
A    150.47    556.08   3199.30
A    150.62    564.20   3165.60
A    150.77    554.78   3047.00
A    150.93    527.84   3201.70
A    151.08    507.52   3319.00
A    151.23    509.27   3287.70
A    151.38    544.04   3495.10
A    151.54    595.87   3775.30
A    151.69    622.30   3837.30
A    151.84    605.06   3809.30
A    151.99    555.71   3800.70
A    152.14    505.31   3400.30
A    152.30    484.41   2981.80
A    152.45    493.49   2973.30
A    152.60    522.17   3028.10
A    152.76    551.63   3303.00
A    152.91    546.79   3278.00
A    153.06    531.46   3289.00
A    153.21    521.08   3318.40
A    153.36    550.90   3394.60
A    153.52    606.87   3390.50
A    153.67    651.69   4206.80
A    153.82    687.16   4024.30
A    153.97    701.10   4009.30
A    154.13    692.85   3995.30
A    154.28    644.04   3920.00
A    154.43    565.60   3612.70
A    154.58    490.93   2999.80
A    154.74    445.81   2392.90
A    154.89    439.87   2721.30
A    155.04    458.56   2747.70
A    155.19    489.44   2839.30
A    155.35    541.76   2823.00
A    155.50    605.97   3017.70
A    155.65    663.60   3203.90
A    155.80    687.20   3449.10
A    155.95    663.19   3956.80
A    156.11    614.69   3756.30
A    156.26    581.73   3574.70
A    156.41    576.75   3501.00
A    156.56    596.19   3441.60
A    156.72    621.77   3400.30
A    156.87    636.21   3469.80
A    157.02    629.33   3460.70
A    157.17    603.23   3551.00
A    157.33    578.13   3540.00
A    157.48    578.05   3545.80
A    157.63    614.27   3549.70
A    157.78    653.10   3501.20
A    157.94    689.02   3394.70
A    158.09    661.14   3970.70
A    158.24    658.81   3956.40
A    158.39    662.54   3683.30
A    158.55    617.64   3488.60
A    158.70    575.54   3333.10
A    158.85    533.45   3047.90
A    159.00    491.35   2716.70
A    159.16    446.45   2598.30
A    159.31    404.35   2546.00
A    159.46    437.68   2467.90
A    159.61    544.39   2670.90
A    159.76    559.85   3203.70
A    159.92    500.67   3596.50
A    160.07    541.79   3912.00
A    160.22    606.69   3767.40
A    160.38    667.60   4305.00
A    160.53    688.27   4475.30
A    160.68    670.09   4463.70
A    160.83    637.94   4378.90
A    160.98    626.00   4035.70
A    161.14    614.34   3394.60
A    161.29    565.29   3334.70
A    161.44    492.06   3219.20
A    161.59    430.66   2515.90
A    161.75    386.01   2378.30
A    161.90    355.39   2332.70
A    162.05    330.24   2124.00
A    162.20    305.57   1768.90
A    162.36    274.92   1588.70
A    162.51    259.68   1597.30
A    162.66    270.65   1626.40
A    162.81    304.51   1665.40
A    162.97    351.86   1840.80
A    163.12    387.63   2088.10
A    163.27    404.66   2494.60
A    163.42    404.53   2605.30
A    163.57    396.79   2527.40
A    163.73    383.54   2411.20
A    163.88    380.73   2382.90
A    164.03    394.78   2610.00
A    164.18    435.02   2925.70
A    164.34    495.28   3111.00
A    164.49    541.79   3718.10
A    164.64    568.52   3876.00
A    164.79    578.00   3772.00
A    164.95    580.52   3688.40
A    165.10    577.64   3659.60
A    165.25    568.33   3551.00
A    165.40    566.49   3524.70
A    165.56    581.17   3536.70
A    165.71    603.25   3802.30
A    165.86    624.42   3819.30
A    166.01    639.45   3795.20
A    166.17    643.08   3763.70
A    166.32    635.90   3788.30
A    166.47    631.47   3887.10
A    166.62    652.53   4056.60
A    166.78    696.47   4010.30
A    166.93    709.69   3884.40
A    167.08    674.57   3627.60
A    167.23    605.69   3419.40
A    167.39    517.29   3302.60
A    167.54    424.54   2917.80
A    167.69    358.25   2616.80
A    167.84    341.63   2093.50
A    168.00    409.50   2373.30
A    168.15    430.12   3082.90
A    168.30    496.99   3780.00
A    168.45    563.86   4224.40
A    168.60    630.74   4495.60
A    168.76    702.07   4652.00
A    168.91    660.85   4759.00
A    169.06    464.00   4702.90
A    169.21    483.10   4302.80
A    169.37    587.55   4096.30
A    169.52    614.53   4110.30
A    169.67    637.12   4042.70
A    169.82    647.70   3983.00
A    169.98    631.20   3885.70
A    170.13    597.76   3692.90
A    170.28    562.84   3094.70
A    170.43    532.12   3294.30
A    170.59    507.28   3281.00
A    170.74    502.02   3169.70
A    170.89    527.98   3121.70
A    171.04    593.55   3495.40
A    171.19    645.76   3994.10
A    171.35    640.04   3924.00
A    171.50    623.51   4249.20
A    171.65    663.70   4315.70
A    171.80    762.91   4299.00
A    171.96    848.68   5518.30
A    172.11    883.22   6060.70
A    172.26    911.42   6241.30
A    172.41    945.15   6061.30
A    172.57    948.08   5899.00
A    172.72    942.96   6023.60
A    172.87    908.39   5842.30
A    173.02    874.23   5158.00
A    173.18    851.89   4968.40
A    173.33    838.79   4827.60
A    173.48    808.57   4566.40
A    173.63    753.09   4404.30
A    173.79    689.76   4507.60
A    173.94    667.87   4333.30
A    174.09    700.41   4288.70
A    174.24    763.13   4426.00
A    174.40    818.89   4534.40
A    174.55    831.23   4883.00
A    174.70    801.66   5122.50
A    174.85    752.68   4556.80
A    175.01    690.87   3925.40
A    175.16    631.80   4007.00
A    175.31    598.25   3808.00
A    175.46    605.42   3780.10
A    175.62    644.58   3780.00
A    175.77    688.33   3865.30
A    175.92    723.37   4475.00
A    176.07    743.29   4694.70
A    176.22    751.79   4725.00
A    176.38    753.85   4704.40
A    176.53    758.20   4789.60
A    176.68    759.74   4826.90
A    176.83    762.99   5045.00
A    176.99    768.69   5363.50
A    177.14    788.61   5610.60
A    177.29    882.04   6114.00
A    177.44    858.40   6118.70
A    177.60    983.63   6021.30
B     88.44    635.51   3661.00
B     88.59    585.67   3858.00
B     88.75    522.48   4098.50
B     88.90    500.48   3702.60
B     89.05    527.16   3238.80
B     89.20    558.31   3655.30
B     89.36    561.44   3941.20
B     89.51    560.55   3912.30
B     89.66    594.91   4269.60
B     89.81    664.80   4597.20
B     89.97    718.62   4618.00
B     90.12    721.96   4790.40
B     90.27    675.48   4395.50
B     90.42    614.45   4236.40
B     90.58    564.73   4056.00
B     90.73    538.50   3671.70
B     90.88    529.31   3607.10
B     91.03    525.99   3939.40
B     91.19    532.28   4182.00
B     91.34    559.27   4015.70
B     91.49    593.59   3875.80
B     91.64    595.91   3833.60
B     91.80    548.59   3705.50
B     91.95    481.64   3405.30
B     92.10    440.50   3062.80
B     92.25    384.18   2691.80
B     92.40    410.88   2483.40
B     92.56    357.29   2372.30
B     92.71    323.23   2357.90
B     92.86    288.95   2435.30
B     93.01    254.89   2489.10
B     93.17    220.83   2429.00
B     93.32    195.78   2412.20
B     93.47    410.88   2701.90
B     93.62    424.00   2837.40
B     93.78    409.07   3135.50
B     93.93    439.61   3138.70
B     94.08    443.25   3141.30
B     94.23    416.66   3140.10
B     94.39    402.91   2985.80
B     94.54    417.96   2809.60
B     94.69    455.55   3115.60
B     94.84    486.49   2876.40
B     95.00    486.85   2831.70
B     95.15    474.91   2779.40
B     95.30    473.99   3216.10
B     95.45    515.71   3741.90
B     95.61    590.62   3699.50
B     95.76    656.70   3719.20
B     95.91    680.59   3830.00
B     96.06    664.58   4011.20
B     96.21    631.36   4112.80
B     96.37    612.43   4021.90
B     96.52    613.26   3834.90
B     96.67    629.96   3631.70
B     96.82    652.40   3654.10
B     96.98    673.64   3757.10
B     97.13    680.48   3612.70
B     97.28    662.87   3570.30
B     97.43    617.56   3711.50
B     97.59    562.18   3617.50
B     97.74    513.88   3153.20
B     97.89    488.90   2702.50
B     98.04    480.60   2617.20
B     98.20    469.22   2989.30
B     98.35    454.21   2832.80
B     98.50    454.57   2582.90
B     98.65    476.10   2551.40
B     98.81    483.74   2655.00
B     98.96    453.63   2797.50
B     99.11    408.61   2507.50
B     99.26    377.37   2084.30
B     99.42    358.35   2007.00
