HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

203.3012	15.1508
203.4536	15.1348
203.6060	14.8217
203.7584	14.7180
203.9108	14.7098
204.0632	14.6891
204.2156	14.4861
204.3680	14.4765
204.5204	14.4851
204.6728	14.4811
204.8252	14.4858
204.9776	14.4790
205.1300	14.4846
205.2824	14.4722
205.4348	14.4873
205.5872	14.4795
205.7396	14.4827
205.8920	14.4715
206.0444	14.4724
206.1968	14.4868
206.3492	14.4775
206.5016	14.4795
206.6540	14.4851
206.8064	14.4805
206.9588	14.1922
207.1112	14.1110
207.2636	14.1060
207.4160	14.1063
207.5684	14.1124
207.7208	14.1170
207.8732	14.1274
208.0256	14.1624
208.1780	14.4312
208.3304	14.4453
208.4828	14.4673
208.6352	14.6028
208.7876	14.6147
208.9400	14.6182
209.0924	14.7354
209.2448	14.9192
209.3972	14.9318
209.5496	15.1058
209.7020	15.1662
209.8544	15.1424
210.0068	15.1058
210.1592	15.0437
210.3116	15.0561
210.4640	14.8979
210.6164	14.4310
210.7688	14.3065
210.9212	13.8186
211.0736	13.6107
211.2260	13.5728
211.3784	13.5483
211.5308	13.5390
211.6832	13.5186
211.8356	13.5037
211.9880	13.4992
212.1404	13.5002
212.2928	13.5011
212.4452	13.4336
212.5976	13.3989
212.7500	13.3642
212.9024	13.2770
213.0548	13.2725
213.2072	13.2669
213.3596	13.2710
213.5120	13.2677
213.6644	13.1094
213.8168	13.1123
213.9692	13.1153
214.1216	13.1059
214.2740	13.1124
214.4264	13.1182
214.5788	13.1111
214.7312	13.1123
214.8836	13.1205
215.0360	13.1223
215.1884	13.1295
215.3408	13.1116
215.4932	13.1031
215.6456	13.1090
215.7980	13.1099
215.9504	13.0985
216.1028	13.1111
216.2552	13.1131
216.4076	13.1041
216.5600	13.1041
216.7124	13.0898
216.8648	13.0809
217.0172	13.0865
217.1696	13.2127
217.3220	13.4960
217.4744	13.4961
217.6268	13.5282
217.7792	13.6209
217.9316	13.6245
218.0840	13.6220
218.2364	13.6150
218.3888	13.6322
218.5412	13.6054
218.6936	13.6240
218.8460	13.6220
218.9984	13.5970
219.1508	13.6001
219.3032	13.6001
219.4556	13.5938
219.6080	13.6009
219.7604	13.5896
219.9128	13.6033
220.0652	13.5959
220.2176	13.5938
220.3700	13.6117
220.5224	13.5927
220.6748	13.6012
220.8272	13.6065
220.9796	13.5899
221.1320	13.6097
221.2844	13.5820
221.4368	13.5575
221.5892	13.5554
221.7416	13.5620
221.8940	13.5605
222.0464	13.5567
222.1988	13.5585
222.3512	13.5575
222.5036	13.5605
222.6560	13.5575
222.8084	13.5585
222.9608	13.5595
223.1132	13.5621
223.2656	13.5609
223.4180	13.5595
223.5704	13.5626
223.7228	13.5610
